Text,Sentiment,Tokenized,Tokenized_removed_sw
لے اتنا تو نوازشریف کو بھی نہیں پتا پتا ہوتا ہے عدالت میں بے گناہ ثابت ہوجانا تھا اب تک,1,"['لے', 'اتنا', 'تو', 'نوازشریف', 'کو', 'بھی', 'نہیں', 'پتا', 'پتا', 'ہوتا', 'ہے', 'عدالت', 'میں', 'بے', 'گناہ', 'ثابت', 'ہوجانا', 'تھا', 'اب', 'تک']","['اتنا', 'نوازشریف', 'کو', 'بھی', 'نہیں', 'پتا', 'پتا', 'ہوتا', 'عدالت', 'میں', 'بے', 'گناہ', 'ثابت', 'ہوجانا', 'تھا', 'اب']"
پھر تو آپ بےقصور ہیںعدالت آپ کو باعزت بری کرتی ہے,1,"['پھر', 'تو', 'آپ', 'بےقصور', 'ہیںعدالت', 'آپ', 'کو', 'باعزت', 'بری', 'کرتی', 'ہے']","['آپ', 'بےقصور', 'ہیںعدالت', 'آپ', 'کو', 'باعزت', 'بری']"
یعنی حکومت بھی غلطی تسلیم کر رھی ھے اور عدالت بھی کہہ رھی ھے غلط بیانیئے سے پی آئ اے کی ساکھ کے علاوہ مالی نقصان بھی ھوا لیکن سزا کسی کو نا ملی یہ بوجھ بھی ٹیکس دہندگان کے سر پڑا کیا عوام حکومتی غلطیوں کا خمیازہ بھگتتی رھے گیواہ رے انصاف کے رکھوالوکیا یہ نیب کا کیس نہیں بنتا,1,"['یعنی', 'حکومت', 'بھی', 'غلطی', 'تسلیم', 'کر', 'رھی', 'ھے', 'اور', 'عدالت', 'بھی', 'کہہ', 'رھی', 'ھے', 'غلط', 'بیانیئے', 'سے', 'پی', 'آئ', 'اے', 'کی', 'ساکھ', 'کے', 'علاوہ', 'مالی', 'نقصان', 'بھی', 'ھوا', 'لیکن', 'سزا', 'کسی', 'کو', 'نا', 'ملی', 'یہ', 'بوجھ', 'بھی', 'ٹیکس', 'دہندگان', 'کے', 'سر', 'پڑا', 'کیا', 'عوام', 'حکومتی', 'غلطیوں', 'کا', 'خمیازہ', 'بھگتتی', 'رھے', 'گیواہ', 'رے', 'انصاف', 'کے', 'رکھوالوکیا', 'یہ', 'نیب', 'کا', 'کیس', 'نہیں', 'بنتا']","['یعنی', 'حکومت', 'بھی', 'غلطی', 'تسلیم', 'کر', 'رھی', 'ھے', 'عدالت', 'بھی', 'کہہ', 'رھی', 'ھے', 'غلط', 'بیانیئے', 'سے', 'پی', 'آئ', 'اے', 'ساکھ', 'علاوہ', 'مالی', 'نقصان', 'بھی', 'ھوا', 'لیکن', 'سزا', 'کسی', 'کو', 'نا', 'ملی', 'بوجھ', 'بھی', 'ٹیکس', 'دہندگان', 'سر', 'پڑا', 'کیا', 'عوام', 'حکومتی', 'غلطیوں', 'کا', 'خمیازہ', 'بھگتتی', 'رھے', 'گیواہ', 'رے', 'انصاف', 'رکھوالوکیا', 'نیب', 'کا', 'کیس', 'نہیں', 'بنتا']"
چلو پھر تو مبارک ھو اس کا جواب تو پھر عدالت میں دے لیں گے نا یا پھر جناب بھی بعد میں کوی قطری خط لیے پھرتے ھوں گے,1,"['چلو', 'پھر', 'تو', 'مبارک', 'ھو', 'اس', 'کا', 'جواب', 'تو', 'پھر', 'عدالت', 'میں', 'دے', 'لیں', 'گے', 'نا', 'یا', 'پھر', 'جناب', 'بھی', 'بعد', 'میں', 'کوی', 'قطری', 'خط', 'لیے', 'پھرتے', 'ھوں', 'گے']","['مبارک', 'ھو', 'اس', 'کا', 'جواب', 'عدالت', 'میں', 'نا', 'یا', 'جناب', 'بھی', 'بعد', 'میں', 'کوی', 'قطری', 'خط', 'لیے', 'پھرتے', 'ھوں']"
جج کا اپنا لائسنس بھی جعلی ہو گا اس لئے جعلی پائلٹس کی حمایت کر رہا ہے ورنہ ایک بھی جعلی پائلٹ کی تعیناتی ہر اعتراض کرتا,0,"['جج', 'کا', 'اپنا', 'لائسنس', 'بھی', 'جعلی', 'ہو', 'گا', 'اس', 'لئے', 'جعلی', 'پائلٹس', 'کی', 'حمایت', 'کر', 'رہا', 'ہے', 'ورنہ', 'ایک', 'بھی', 'جعلی', 'پائلٹ', 'کی', 'تعیناتی', 'ہر', 'اعتراض', 'کرتا']","['جج', 'کا', 'اپنا', 'لائسنس', 'بھی', 'جعلی', 'گا', 'اس', 'جعلی', 'پائلٹس', 'حمایت', 'کر', 'رہا', 'ورنہ', 'بھی', 'جعلی', 'پائلٹ', 'تعیناتی', 'اعتراض', 'کرتا']"
نوازشریف کو ایک اور موقعہ دیا ہے واپسی کا عدالت نے ایک تاریخ اور دے کر شاید اور بھی موقعہ دے ماں کی مرنے پر  مگر اشتہاری وہ قرار پا چکا ہے اب یہ عدالتی کاروائی مکمل ہو رہی ہے اس کی جائیداد لینے سے پہلے,1,"['نوازشریف', 'کو', 'ایک', 'اور', 'موقعہ', 'دیا', 'ہے', 'واپسی', 'کا', 'عدالت', 'نے', 'ایک', 'تاریخ', 'اور', 'دے', 'کر', 'شاید', 'اور', 'بھی', 'موقعہ', 'دے', 'ماں', 'کی', 'مرنے', 'پر', 'مگر', 'اشتہاری', 'وہ', 'قرار', 'پا', 'چکا', 'ہے', 'اب', 'یہ', 'عدالتی', 'کاروائی', 'مکمل', 'ہو', 'رہی', 'ہے', 'اس', 'کی', 'جائیداد', 'لینے', 'سے', 'پہلے']","['نوازشریف', 'کو', 'موقعہ', 'دیا', 'واپسی', 'کا', 'عدالت', 'نے', 'تاریخ', 'کر', 'شاید', 'بھی', 'موقعہ', 'ماں', 'مرنے', 'مگر', 'اشتہاری', 'وہ', 'قرار', 'پا', 'چکا', 'اب', 'عدالتی', 'کاروائی', 'مکمل', 'اس', 'جائیداد', 'لینے', 'سے', 'پہلے']"
اور یہ عدلیہ کے لئے سوالیہ نشان ہے,1,"['اور', 'یہ', 'عدلیہ', 'کے', 'لئے', 'سوالیہ', 'نشان', 'ہے']","['عدلیہ', 'سوالیہ', 'نشان']"
اس جج اور اسکی فیملی کو ایک جہاز میں جعلی پائلٹ کے ساتھ بٹھا دیں ہمیں کوئی اعتراض نہیں لیکن ہمیں پی آئی اے میں ایک بھی جعلی پائلٹ نہیں منظور کیونکہ ہم پی آئی اے سے سفر کرتے ہیں,0,"['اس', 'جج', 'اور', 'اسکی', 'فیملی', 'کو', 'ایک', 'جہاز', 'میں', 'جعلی', 'پائلٹ', 'کے', 'ساتھ', 'بٹھا', 'دیں', 'ہمیں', 'کوئی', 'اعتراض', 'نہیں', 'لیکن', 'ہمیں', 'پی', 'آئی', 'اے', 'میں', 'ایک', 'بھی', 'جعلی', 'پائلٹ', 'نہیں', 'منظور', 'کیونکہ', 'ہم', 'پی', 'آئی', 'اے', 'سے', 'سفر', 'کرتے', 'ہیں']","['اس', 'جج', 'اسکی', 'فیملی', 'کو', 'جہاز', 'میں', 'جعلی', 'پائلٹ', 'ساتھ', 'بٹھا', 'دیں', 'ہمیں', 'اعتراض', 'نہیں', 'لیکن', 'ہمیں', 'پی', 'اے', 'میں', 'بھی', 'جعلی', 'پائلٹ', 'نہیں', 'منظور', 'کیونکہ', 'ہم', 'پی', 'اے', 'سے', 'سفر']"
ہر روز ہزاروں لوگ پی آئی اے سے سفر کرتے ہیں عدالت کے نزدیک انکی زندگی اہم نہیں ہے بجائے اس کے کہ عدالت یہ کہتی کہ لوگوں کی زندگیوں کا معاملہ ہے ایک بھی پائلٹ جعلی کیوں ہے عدالت کے نزدیک جعلی پائلٹ معمولی بات ہے لعنت ہے ایسے جج پر,0,"['ہر', 'روز', 'ہزاروں', 'لوگ', 'پی', 'آئی', 'اے', 'سے', 'سفر', 'کرتے', 'ہیں', 'عدالت', 'کے', 'نزدیک', 'انکی', 'زندگی', 'اہم', 'نہیں', 'ہے', 'بجائے', 'اس', 'کے', 'کہ', 'عدالت', 'یہ', 'کہتی', 'کہ', 'لوگوں', 'کی', 'زندگیوں', 'کا', 'معاملہ', 'ہے', 'ایک', 'بھی', 'پائلٹ', 'جعلی', 'کیوں', 'ہے', 'عدالت', 'کے', 'نزدیک', 'جعلی', 'پائلٹ', 'معمولی', 'بات', 'ہے', 'لعنت', 'ہے', 'ایسے', 'جج', 'پر']","['روز', 'ہزاروں', 'پی', 'اے', 'سے', 'سفر', 'عدالت', 'نزدیک', 'انکی', 'زندگی', 'اہم', 'نہیں', 'بجائے', 'اس', 'عدالت', 'زندگیوں', 'کا', 'معاملہ', 'بھی', 'پائلٹ', 'جعلی', 'عدالت', 'نزدیک', 'جعلی', 'پائلٹ', 'معمولی', 'بات', 'لعنت', 'ایسے', 'جج']"
تو عدالت کے خیال میں جعلی پائلٹس کو معمولی بات ہے تو ائیر بلو میں جعلی پائلٹس کیوں نہ رکھ لئے,0,"['تو', 'عدالت', 'کے', 'خیال', 'میں', 'جعلی', 'پائلٹس', 'کو', 'معمولی', 'بات', 'ہے', 'تو', 'ائیر', 'بلو', 'میں', 'جعلی', 'پائلٹس', 'کیوں', 'نہ', 'رکھ', 'لئے']","['عدالت', 'خیال', 'میں', 'جعلی', 'پائلٹس', 'کو', 'معمولی', 'بات', 'ائیر', 'بلو', 'میں', 'جعلی', 'پائلٹس', 'نہ']"
لیکن جج حضرات اور نیب چیف میاں برادران اور نون لیگ کو سزائیں دینے کے لیے جاگ رہے ہیں,1,"['لیکن', 'جج', 'حضرات', 'اور', 'نیب', 'چیف', 'میاں', 'برادران', 'اور', 'نون', 'لیگ', 'کو', 'سزائیں', 'دینے', 'کے', 'لیے', 'جاگ', 'رہے', 'ہیں']","['لیکن', 'جج', 'حضرات', 'نیب', 'چیف', 'میاں', 'برادران', 'نون', 'لیگ', 'کو', 'سزائیں', 'دینے', 'لیے', 'جاگ']"
جو مریم بارے کہہ رھے ھو انصافی کتوں کا بھونک پٹاکا ھے جبکہ نیازی کا زانی ھونا نہ صرف عدالت سے تصدیق شدہ ھے بلکہ اب جمائما کےساتھ رھنےکےباعث یوتھی کتے بھی ماننے پر مجبور ھیں,1,"['جو', 'مریم', 'بارے', 'کہہ', 'رھے', 'ھو', 'انصافی', 'کتوں', 'کا', 'بھونک', 'پٹاکا', 'ھے', 'جبکہ', 'نیازی', 'کا', 'زانی', 'ھونا', 'نہ', 'صرف', 'عدالت', 'سے', 'تصدیق', 'شدہ', 'ھے', 'بلکہ', 'اب', 'جمائما', 'کےساتھ', 'رھنےکےباعث', 'یوتھی', 'کتے', 'بھی', 'ماننے', 'پر', 'مجبور', 'ھیں']","['جو', 'مریم', 'بارے', 'کہہ', 'رھے', 'ھو', 'انصافی', 'کتوں', 'کا', 'بھونک', 'پٹاکا', 'ھے', 'جبکہ', 'نیازی', 'کا', 'زانی', 'ھونا', 'نہ', 'صرف', 'عدالت', 'سے', 'تصدیق', 'شدہ', 'ھے', 'بلکہ', 'اب', 'جمائما', 'کےساتھ', 'رھنےکےباعث', 'یوتھی', 'کتے', 'بھی', 'ماننے', 'مجبور', 'ھیں']"
تھانوں میں پینٹ یا دوسرا کام صاحبان کروا لیتے ہیں لوگوں سے تو بلڈنگ ڈیپارٹمنٹ چونکہ سب کمشن لیتے ہیں تو وہ ججز اور پولیس کے ساتھ تعلقات رکھنے کے لئے انٹی کرپشن کے جج کی رہائش میں اعلی قسم کے باتھ رومز اور دوسرے کام کروا دیتے ہیں اور جو فنڈ تھانوں کی مرمت کا ہوتا ہے وہ,0,"['تھانوں', 'میں', 'پینٹ', 'یا', 'دوسرا', 'کام', 'صاحبان', 'کروا', 'لیتے', 'ہیں', 'لوگوں', 'سے', 'تو', 'بلڈنگ', 'ڈیپارٹمنٹ', 'چونکہ', 'سب', 'کمشن', 'لیتے', 'ہیں', 'تو', 'وہ', 'ججز', 'اور', 'پولیس', 'کے', 'ساتھ', 'تعلقات', 'رکھنے', 'کے', 'لئے', 'انٹی', 'کرپشن', 'کے', 'جج', 'کی', 'رہائش', 'میں', 'اعلی', 'قسم', 'کے', 'باتھ', 'رومز', 'اور', 'دوسرے', 'کام', 'کروا', 'دیتے', 'ہیں', 'اور', 'جو', 'فنڈ', 'تھانوں', 'کی', 'مرمت', 'کا', 'ہوتا', 'ہے', 'وہ']","['تھانوں', 'میں', 'پینٹ', 'یا', 'دوسرا', 'کام', 'صاحبان', 'کروا', 'لیتے', 'سے', 'بلڈنگ', 'ڈیپارٹمنٹ', 'چونکہ', 'سب', 'کمشن', 'لیتے', 'وہ', 'ججز', 'پولیس', 'ساتھ', 'تعلقات', 'رکھنے', 'انٹی', 'کرپشن', 'جج', 'رہائش', 'میں', 'اعلی', 'قسم', 'باتھ', 'رومز', 'دوسرے', 'کام', 'کروا', 'جو', 'فنڈ', 'تھانوں', 'مرمت', 'کا', 'ہوتا', 'وہ']"
اے جج لبھدی اے,1,"['اے', 'جج', 'لبھدی', 'اے']","['اے', 'جج', 'لبھدی', 'اے']"
جس ریاست کا دین ایمان اوڑھنا بچھونا کھانا پینا جھوٹ ہو اس سے ثبوت کا تواضا کرنا ملک دشمنی ہے ویسے ہم کسی بھی ریاست کی بات پر یقین کرنے کے قائل نہیں ثبوت پریس کانفرنس میں کاغذ لہرانا نہیں کسی عدالت کسی فورم پر دینے ہوتے ہیں پارلیمان تک تو دئیے نہیں گئے,1,"['جس', 'ریاست', 'کا', 'دین', 'ایمان', 'اوڑھنا', 'بچھونا', 'کھانا', 'پینا', 'جھوٹ', 'ہو', 'اس', 'سے', 'ثبوت', 'کا', 'تواضا', 'کرنا', 'ملک', 'دشمنی', 'ہے', 'ویسے', 'ہم', 'کسی', 'بھی', 'ریاست', 'کی', 'بات', 'پر', 'یقین', 'کرنے', 'کے', 'قائل', 'نہیں', 'ثبوت', 'پریس', 'کانفرنس', 'میں', 'کاغذ', 'لہرانا', 'نہیں', 'کسی', 'عدالت', 'کسی', 'فورم', 'پر', 'دینے', 'ہوتے', 'ہیں', 'پارلیمان', 'تک', 'تو', 'دئیے', 'نہیں', 'گئے']","['جس', 'ریاست', 'کا', 'دین', 'ایمان', 'اوڑھنا', 'بچھونا', 'کھانا', 'پینا', 'جھوٹ', 'اس', 'سے', 'ثبوت', 'کا', 'تواضا', 'کرنا', 'ملک', 'دشمنی', 'ویسے', 'ہم', 'کسی', 'بھی', 'ریاست', 'بات', 'یقین', 'کرنے', 'قائل', 'نہیں', 'ثبوت', 'پریس', 'کانفرنس', 'میں', 'کاغذ', 'لہرانا', 'نہیں', 'کسی', 'عدالت', 'کسی', 'فورم', 'دینے', 'پارلیمان', 'دئیے', 'نہیں']"
آپ تو بچوں نے کہا ہوگا ماما آپ چور کے لئے عدالت کیوں گئی اسکے بچوں کو سہی تنگ کرتے ہونگے آج کل کے بچوں کا پتہ ہے نا,1,"['آپ', 'تو', 'بچوں', 'نے', 'کہا', 'ہوگا', 'ماما', 'آپ', 'چور', 'کے', 'لئے', 'عدالت', 'کیوں', 'گئی', 'اسکے', 'بچوں', 'کو', 'سہی', 'تنگ', 'کرتے', 'ہونگے', 'آج', 'کل', 'کے', 'بچوں', 'کا', 'پتہ', 'ہے', 'نا']","['آپ', 'بچوں', 'نے', 'کہا', 'ہوگا', 'ماما', 'آپ', 'چور', 'عدالت', 'اسکے', 'بچوں', 'کو', 'سہی', 'تنگ', 'ہونگے', 'بچوں', 'کا', 'پتہ', 'نا']"
اس ملک کی اشرافیہ ذمہ دار ہے جج سیاست دان بیوروکریٹ جاگیردارسرمایہ دار میڈیا مالکان  صحافی کچھ پولیس اشرافیہ آرمی اشرافیہ عام آدمی کی مشکلات سے کسی کو کوئی پرواہ نہی اربوں کہ کاروبار بیرون ملک خاندان بیرون ملک جائیدادے دوسرے ممالک کہ پاسپورٹ ان کو ملک سے کیا لینا,0,"['اس', 'ملک', 'کی', 'اشرافیہ', 'ذمہ', 'دار', 'ہے', 'جج', 'سیاست', 'دان', 'بیوروکریٹ', 'جاگیردارسرمایہ', 'دار', 'میڈیا', 'مالکان', 'صحافی', 'کچھ', 'پولیس', 'اشرافیہ', 'آرمی', 'اشرافیہ', 'عام', 'آدمی', 'کی', 'مشکلات', 'سے', 'کسی', 'کو', 'کوئی', 'پرواہ', 'نہی', 'اربوں', 'کہ', 'کاروبار', 'بیرون', 'ملک', 'خاندان', 'بیرون', 'ملک', 'جائیدادے', 'دوسرے', 'ممالک', 'کہ', 'پاسپورٹ', 'ان', 'کو', 'ملک', 'سے', 'کیا', 'لینا']","['اس', 'ملک', 'اشرافیہ', 'ذمہ', 'دار', 'جج', 'سیاست', 'دان', 'بیوروکریٹ', 'جاگیردارسرمایہ', 'دار', 'میڈیا', 'مالکان', 'صحافی', 'کچھ', 'پولیس', 'اشرافیہ', 'آرمی', 'اشرافیہ', 'عام', 'آدمی', 'مشکلات', 'سے', 'کسی', 'کو', 'پرواہ', 'نہی', 'اربوں', 'کاروبار', 'بیرون', 'ملک', 'خاندان', 'بیرون', 'ملک', 'جائیدادے', 'دوسرے', 'ممالک', 'پاسپورٹ', 'ان', 'کو', 'ملک', 'سے', 'کیا', 'لینا']"
پاکستانی قانون اور اور اسکے اداروں پر کیچڑ اچالنے سے پہلے اپنے آپکو دیکھو کہ تم خود قانون کی مجرم ہو لہذا تمہاری کسی بات کی کوئی قیمت نہیں جب تک تمہیں عدالت جرم سے بری نہ کردے مجرم کے بنیادی انسانی حقوق سلب ہوجاتے ہیں ہر ملک کے قانون میں جو کہ ہر ازاد شہری کو حاصل ہوتے ہیں,1,"['پاکستانی', 'قانون', 'اور', 'اور', 'اسکے', 'اداروں', 'پر', 'کیچڑ', 'اچالنے', 'سے', 'پہلے', 'اپنے', 'آپکو', 'دیکھو', 'کہ', 'تم', 'خود', 'قانون', 'کی', 'مجرم', 'ہو', 'لہذا', 'تمہاری', 'کسی', 'بات', 'کی', 'کوئی', 'قیمت', 'نہیں', 'جب', 'تک', 'تمہیں', 'عدالت', 'جرم', 'سے', 'بری', 'نہ', 'کردے', 'مجرم', 'کے', 'بنیادی', 'انسانی', 'حقوق', 'سلب', 'ہوجاتے', 'ہیں', 'ہر', 'ملک', 'کے', 'قانون', 'میں', 'جو', 'کہ', 'ہر', 'ازاد', 'شہری', 'کو', 'حاصل', 'ہوتے', 'ہیں']","['پاکستانی', 'قانون', 'اسکے', 'اداروں', 'کیچڑ', 'اچالنے', 'سے', 'پہلے', 'اپنے', 'آپکو', 'تم', 'خود', 'قانون', 'مجرم', 'لہذا', 'تمہاری', 'کسی', 'بات', 'قیمت', 'نہیں', 'جب', 'تمہیں', 'عدالت', 'جرم', 'سے', 'بری', 'نہ', 'کردے', 'مجرم', 'بنیادی', 'انسانی', 'حقوق', 'سلب', 'ہوجاتے', 'ملک', 'قانون', 'میں', 'جو', 'ازاد', 'شہری', 'کو', 'حاصل']"
