,Sentiment,tokenized
52,1,"['ایم', 'کیوایم', 'کا', 'آزاد', 'کشمیر', 'حکومت', 'سے', 'علیحدگی', 'کا', 'اعلان', 'اسکے', 'ساتھ', 'ہی', 'حکومت', 'سے', 'اندر', 'باہر', 'ہونے', 'کا', 'عالمی', 'ریکارڈ', 'بھی', 'بنا', 'ڈالا', 'سیاسی', 'لطیفے']"
53,1,"['مشرق', 'وسطی', 'میں', 'امریکا', 'اپنی', 'ہی', 'پالیسیوں', 'کے', 'نتائج', 'بھگت', 'رہا', 'ہے']"
54,1,"['اوہ', 'معذرت', 'بے', 'دھیانی', 'کئی', 'مہینوں', 'بعد', 'فون', 'سننا', 'پڑ', 'گیا', 'دماغ', 'ہی', 'بند', 'ہوگیا', 'عادت', 'نہیں', 'فون', 'پر', 'بات', 'کرنے', 'کی', 'پ']"
55,0,"['برطانوی', 'فوج', 'نے', 'افغانستان', 'میں', 'آخری', 'اڈاہ', 'بھی', 'خالی', 'کردیا']"
56,0,"['ڈات', 'کے', 'کہڑا', 'ہے', 'آب', 'عمر', 'انٹہیک', 'کرے', 'گا', 'سب', 'کپتان', 'نیاء', 'بنے', 'گا', 'پاکستان', 'نیاء', 'بنے', 'گا', 'پاکستان', 'انشاء', 'آللہ']"
57,0,"['کون', 'دیکھے', 'گا', 'اب', 'صلیبوں', 'پر', 'صورتیں', 'وہ', 'پیمبروں', 'جیسی', 'میری', 'دنیا', 'کے', 'بادشاہوں', 'کی', 'عادتیں', 'ہیں', 'گداگروں', 'جیسی']"
58,0,"['یہ', 'اڑی', 'اڑی', 'سی', 'رنگت', 'یہ', 'کھلے', 'کھلے', 'سے', 'گیسو', 'تیری', 'صبح', 'کہ', 'رہی', 'ہے', 'تیری', 'رات', 'کا', 'فسانہ']"
59,0,"['جو', 'چیز', 'ﷲ', 'نہ', 'دے', 'بندوں', 'سے', 'نہیں', 'مانگنا', 'چاہیے']"
60,0,"['تو', 'میں', 'کب', 'کہہ', 'رہا', 'ہوں', 'ایساوہ', 'تو', 'صحیح', 'اور', 'غلط', 'کی', 'لڑائی', 'تھی']"
61,1,"['مار', 'دیا', 'جائے', 'ک', 'چھوڑ', 'دیا', 'جائے', 'بول', 'تیرے', 'ساتھ', 'کیا', 'سلوک', 'کیا', 'جائے']"
62,0,"['شہباز', 'شریف', 'نے', 'جھنگ', 'کے', 'سیلاب', 'زدگان', 'کو', 'چیک', 'دئے', 'تھے', 'وہ', 'کل', 'باونس', 'ہو', 'گئے']"
63,0,"['سر', 'جی', 'وہ', 'بھی', 'بنتی', 'یے', 'مگر', 'یہ', 'چاٹی', 'کی', 'لسی', 'سے', 'بنوائی', 'ہے', 'کھٹی', 'کھٹی']"
64,0,"['پہلا', 'ٹیسٹ', 'آسٹریلیا', 'کیخلاف', 'پاکستان', 'کی', 'بیٹنگ', 'جاری']"
65,0,"['ہاں', 'یہی', 'احساس', 'پیدا', 'کرنا', 'ہے']"
66,0,"['حضرت', 'مولانا', 'محمود', 'اشرف', 'عثمانی', 'صاحب', 'مدظلہ', 'حاجیوں', 'کیلئے', 'چند', 'ھدایات']"
67,0,"['انصافی', 'ٹائگر', 'عمران', 'خان', 'کے', 'معذور', 'افراد', 'کے', 'ساتھ', 'گزرے', 'سب', 'سے', 'قیمتی']"
68,0,"['غم', 'کے', 'لاکھوں', 'دکانداروں', 'سے', 'اک', 'تبسم', 'فروش', 'بہتر', 'ہے']"
69,0,"['مشرف', 'کے', 'دوست', 'شیرافگن', 'نے', 'کہا', 'تھا', 'کہ', 'فضل', 'الرحمن', 'کواس', 'شرط', 'پر', 'اپوزیشن', 'لیڈر', 'بنایا', 'گیا', 'تھا', 'کہ', 'وہ', 'مشرف', 'کی', 'پالیسیوں', 'کی', 'حمایت', 'کریں', 'گے', 'ڈیزل', 'کی', 'اصلیت']"
70,1,"['میں', 'ابھی', 'باہیک', 'پر', 'مری', 'روڈ', 'راولپنڈی', 'سے', 'آیا', 'ھوں', 'میٹرو', 'کے', 'کام', 'کی', 'وجہ', 'سے', 'مری', 'روڈ', 'پر', 'بہت', 'زیادہ', 'گرد', 'و', 'غبار', 'ھے', 'ٹریفک', 'کا', 'جام', 'رہنا', 'معمول', 'ھے']"
71,1,"['بلدیاتی', 'انتخابات', 'میں', 'التوا', 'کا', 'ذمہ', 'دار', 'الیکشن', 'کمیشن', 'ہے', 'عمران', 'خان']"
72,0,"['میرے', 'پاس', 'جن', 'ہیں', 'جو', 'امریکا', 'یورپی', 'پارلیمنٹ', 'کے', 'بل', 'لے', 'آتے', 'ہیں', 'قادری', 'لاہورحکومت', 'اور', 'عوام']"
73,0,"['پشاور', 'حزب', 'اختلاف', 'کی', 'جانب', 'سے', 'محمد', 'علی', 'شاہ', 'کا', 'نام', 'سامنے', 'آیا']"
74,0,"['ٹی', 'وی', 'سے', 'فوٹو', 'کیوں', 'کھینچ', 'رہیں', 'گوگل', 'کرکے', 'تصویر', 'لگا', 'دیں']"
75,0,"['مبارک', 'ہو', 'ہمیں', 'اپ', 'پہ', 'فخر', 'ہے', 'اللہ', 'آپکو', 'مزید', 'کامیابیاں', 'عطا', 'فرمائے', 'آمین']"
76,1,"['حقے', 'کی', 'انگلش', 'کیا', 'ہے', 'ساتھ', 'یہ', 'بھی', 'بتائیے', 'کہ', 'گٹکے', 'کو', 'انگلش', 'میں', 'کیا', 'کہتے', 'ہیں']"
77,1,"['خدانخواستہ', 'عمران', 'خان', 'تیرے', 'گھر', 'گھس', 'گیا', 'تو', 'کیا', 'ہو', 'گا', 'اس', 'کی', 'تصویر', 'بھی', 'لگا', 'دو']"
78,0,"['بھائ', 'نہ', 'جھک', 'مارو', 'نہ', 'حق', 'بس', 'تمیز', 'سے', 'زندگی', 'گزارو']"
79,0,"['ھائے', 'کیا', 'چیز', 'ھے', 'محبت', 'بھی']"
80,0,"['ایرانی', 'دہشتگرد', 'امین', 'شہیدی', 'نے', 'اگست', 'کو', 'اسلام', 'آباد', 'میں', 'مولانا', 'فضل', 'الرحمن', 'سے', 'انتقام', 'کا', 'اعلان', 'کیا', 'تھاوہی', 'ہوا', 'بس', 'اللہ', 'نے', 'مولانا', 'کو', 'بچا', 'لیا']"
81,0,"['حدیثا', 'اللہ', 'کاذکر', 'ایمان', 'کاجھنڈا', 'شیطان', 'سے', 'حفاظت', 'کا', 'قلعہ', 'اور', 'بھڑکتی', 'آگ', 'نارجہنم', 'سے', 'نجات', 'کاذریعہ', 'ھے', 'گلدستہء', 'فقر', 'صفحہ']"
82,0,"['ایکس', 'نیوز', '۰', 'محرم', 'الحرامایکس', 'نیوز', 'کی', 'جانب', 'سے', 'تمام', 'مسلمانوں']"
83,0,"['اردو', 'ٹرینڈ', 'زیادہ', 'بہتر', 'رہے', 'گا', 'کپتان', 'ڈیزل']"
84,1,"['بنوں', 'میں', 'مکانات', 'کے', 'کرائے', 'بڑھ', 'گئے', 'متاثرین', 'بکاخیل', 'کیمپ', 'جانے', 'پر', 'مجبور']"
85,0,"['واہ', 'کیا', 'بات', 'ہے']"
86,1,"['شیخ', 'جیسا', 'بے', 'شرم', 'جسے', 'میں', 'اپنا', 'چپڑاسی', 'بھی', 'نہ', 'رکھوسچ', 'ہی', 'تو', 'کہا', 'ہے', 'چپڑاسی', 'نہیں', 'رکھے', 'گا', 'پارٹنر', 'بنائے', 'گا']"
87,0,"['حلقہ', 'خواتین', 'کے', 'تحت', 'ملک', 'بھر', 'میں', 'اجتماع', 'عام', 'کے', 'سلسلے', 'میں', 'بریفنگ', 'اور', 'ملاقاتوں', 'کا', 'سلسلہ', 'جاری']"
88,1,"['میں', 'چاھتا', 'بھی', 'یھی', 'تھا', 'تو', 'بے', 'وفا', 'نکلے', 'تجھے', 'سمجھنے', 'کا', 'کوئی', 'تو', 'سلسلا', 'نکلے']"
89,0,"['عمران', 'بھائی', 'اپ', 'کے', 'لطیفوں', 'پر', 'تو', 'اب', 'لوگ', 'کا', 'فی', 'زور', 'کا', 'ہنستے', 'ہیں', 'آپ', 'اپنے', 'شوز', 'کا', 'ٹکٹ', 'لگا', 'لیں', 'پیسے', 'مل', 'جائیں', 'گے', 'اور', 'مانگنے', 'کی', 'شرمندگی', 'بھی', 'نہ', 'ہو', 'گی']"
90,0,"['تین', 'چیزیں', 'محبت', 'بڑھانے', 'کا', 'ذریعہ', 'ھیں', 'سلام', 'کرنا', 'دوسروں', 'کے', 'لیے', 'مجلس', 'میں', 'جگہ', 'خالی', 'کرنا', 'مخاطب', 'کو', 'بھترین', 'نام', 'سے', 'پکارنا', 'حضرت', 'عمر']"
91,0,"['وقت', 'کا', 'تقاضا', 'ہے', 'کہ', 'وسائل', 'کی', 'منصفانہ', 'تقسیم', 'کے', 'لیے', 'انتظامی', 'بنیادوں', 'پر', 'صوبے', 'بنائے', 'جائیں', 'انھیں', 'مالی', 'وسیاسی', 'اختیارات', 'دئے', 'جائیں', 'وفاق', 'مشترکہ', 'وحدت', 'بنے']"
92,0,"['لاہور', 'اگلے', 'جلسے', 'سے', 'پہلے', 'واپس', 'آجائیں', 'گے']"
93,1,"['جناب', 'اسپیکر', 'آج', 'سے', 'نون', 'لیگ', 'کو', 'منافق', 'لیگ', 'کا', 'نام', 'دیا', 'جائے', 'کیونکہ', 'نون', 'لیگ', 'نے', 'سچ', 'تو', 'کبھی', 'بولنا', 'نہیں']"
94,1,"['مک', 'جائے', 'نام', 'تیرا', 'سیاست', 'کے', 'فسانے', 'سے', 'تیرا', 'رونا', 'ہی', 'بنتا', 'ہے', 'زمانے', 'میں']"
95,1,"['بھنگ', 'کا', 'نشہ', 'ہے', 'کہ', 'اترتا', 'ہی', 'نہیں', 'ہے']"
96,1,"['کشکول', 'توڑنے', 'کا', 'دعوی', 'پاکستان', 'کو', 'قرضوں', 'میں', 'ڈبو', 'گیاغیر', 'ملکی', 'قرضے', 'ارب', 'ڈالر', 'سے', 'تجاوز', 'ہر', 'پاکستانی', 'سے', 'زائد', 'روپے', 'کا', 'مقروض', 'قرضے', 'کھرب', 'تک', 'پہنچ', 'گئے']"
97,0,"['ایسا', 'اسان', 'حدف', 'بچوں', 'والا', 'میچ', 'ہو', 'گیا', 'یہ', 'تو', 'ہا', 'ہا', 'ہا', 'ہا', 'ہا']"
98,1,"['استیعفی', 'مانگنے', 'والے', 'چندہ', 'مانگنے', 'پر', 'آگئے']"
99,1,"['مریم', 'نواز', 'کی', 'بحیثیت', 'چیئرپرسن', 'یوتھ', 'لون', 'اسکیم', 'تقرری', 'پر', 'وفاقی', 'حکومت', 'سے', 'جواب', 'طلب', 'ہائی', 'کورٹ', 'نے']"
100,1,"['لے', 'دس', 'میں', 'سائیکو', 'ہوتی', 'تو', 'اج', 'خان', 'کی', 'طرح', 'چندہ', 'گن', 'رہی', 'ہوتی']"
101,0,"['انقلاب', 'کی', 'لغت', 'میں', 'مایوسی', 'اور', 'بے', 'یقینی', 'نہیں', 'ہوتی', 'ڈاکٹر', 'طاہر', 'القادری', 'انقلاب', 'انے', 'کو', 'ہے']"
102,0,"['ربنا', 'وتقبل', 'دعاءاے', 'میرے', 'رب', 'اور', 'تو', 'میری', 'دعا', 'قبول', 'فرما', 'آمین', 'یا', 'رب', 'العالمین']"
103,0,"['متروک', 'مسترد', 'کاسہ', 'لیسوں', 'کی', 'کسی', 'بھی', 'مارچ', 'کی', 'حمایت', 'کرنا', 'تاریخی', 'جرم', 'ہوگا', 'متروکمستردکاسہلیسوں', 'کیکسیبھیمارچک']"
104,1,"['پی', 'آئی', 'اے', 'کو', 'ایندھن', 'کی', 'ترسیل', 'بحال', 'رکھنا', 'مشکل', 'ہوگیا', 'پی', 'ایس', 'او', 'کراچیپی', 'ایس', 'او', 'نے', 'پا']"
105,0,"['لاہور', 'بڑا', 'ہسپتال', 'نہیں', 'سیالکوٹ', 'اور', 'ہارون', 'آباد', 'میں', 'چھوٹے', 'یونٹس', 'بنا', 'رہی', 'ہوں', 'میرا']"
106,0,"['ان', 'ہتھیاروں', 'پر', 'پابندی', 'لگائی', 'جائے', 'دوستوں', 'کے', 'ساتھ', 'ضرور', 'شئیر', 'کریں', 'شکریہ']"
107,1,"['عمران', 'خاں', 'زنا', 'اور', 'اپنے', 'ناجائز', 'بچوں', 'کو', 'پرائیویٹ', 'معاملہ', 'کھتا', 'ھے', 'کیا', 'ایسے', 'شخص', 'کے', 'پیچھے', 'قوم', 'کو', 'چلنا', 'چاھیے']"
108,1,"['لوٹ', 'آنے', 'کی', 'امیدیں', 'ٹوٹ', 'پائی', 'ہی', 'نہیں', 'بند', 'ہو', 'پائے', 'نہیں', 'ہیں', 'اب', 'بہی', 'در', 'کہنا', 'اسے', 'ملک', 'عدنان', 'احمد']"
109,1,"['غذائی', 'قلت', 'کا', 'شکار', 'مزید', 'دو', 'بچے', 'سول', 'اسپتال', 'مٹھی', 'میں', 'دم', 'توڑ', 'گئے', 'تھر', 'پارکرتھر', 'پارکر', 'میں', 'غذائی', 'قلت', 'کا', 'شکار', 'م']"
110,1,"['سٹی', 'ٹریفک', 'پولیس', 'نے', 'رواں', 'ماہ', 'کے', 'دوران', 'مجموعی', 'طورپردوسوبارہ', 'مقدمات', 'درج', 'کرائے']"
111,0,"['مادر', 'جمہوریت', 'بیگم', 'نصرت', 'بھٹو', 'ہبحاایران', 'کی', 'بیٹی', 'نصرت', 'بھٹو', 'پاکستان', 'کی', 'ینب', 'ںامانہوں', 'نے', 'سقوﻁ', 'ڈھاک', 'کے', 'بعد', 'بکھرے']"
112,0,"['مولانا', 'فضل', 'الرحمن', 'سے', 'ملاقات', 'کیلئے', 'گورنر', 'پنجاب', 'وفاقی', 'وزراء', 'مشیروں', 'اور', 'مذہبی', 'رہنماؤں', 'کا', 'تانتا', 'بندھارہا']"
113,0,"['انشا', 'جی', 'اٹھو', 'اب', 'کوچ', 'کرو', 'اس', 'شہر', 'میں', 'جی', 'کا', 'لگانا', 'کیا', 'ہاہاہا', 'اور', 'یہ', 'کہ', 'کر', 'قادری', 'صاحب', 'شہر', 'اقتدار', 'پر', 'بہت', 'بڑا', 'احسان', 'کر', 'گے']"
114,0,"['لوگوں', 'سے', 'دھرنے', 'کے', 'لیے', 'چندہ', 'مانگنے', 'والا', 'اپنا', 'کنال', 'کا', 'بنی', 'گالہ', 'کا', 'گھر', 'کیوں', 'نہیں', 'پیج', 'کر', 'دھرنے', 'خرچے', 'پورے', 'کرتا']"
115,0,"['اردو', 'لغت', 'میے', 'نیا', 'لفظ']"
116,0,"['دبئی', 'چوتھے', 'دن', 'کا', 'کھیل', 'ختم', 'آسٹریلیا', 'کے', 'رنز', 'کھلاڑی', 'آئوٹ']"
117,1,"['شامی', 'صاحب', 'تو', 'ایڈیٹر', 'اور', 'تجزیہ', 'نگار', 'ہیں', 'میں', 'رپورٹر', 'ہوں', 'جو', 'اینٹ', 'اٹھاتا', 'ہوں', 'بڑے', 'بڑے', 'کرپشن', 'سکینڈل', 'نکلتے', 'تو', 'میں', 'جذباتی', 'کیوں', 'نہ', 'ہوں', 'رؤف', 'کلاسرا']"
118,0,"['قادری', 'کا', 'کنٹینر', 'ظہیر', 'الااسلام', 'کو', 'انکی', 'ریٹائرمنٹ', 'کے', 'پرمسرت', 'موقع', 'پر', 'بطور', 'سویئنیر', 'پیش', 'کیا', 'جانا', 'چاھیے']"
119,1,"['اسلام', 'آباد', 'مولانا', 'فضل', 'الرحمان', 'پر', 'حملے', 'کے', 'خلاف', 'کل', 'ملک', 'بھر', 'میں', 'یوم', 'مذمت', 'منایا', 'جائے', 'گا', 'علامہ', 'محمد', 'احمد', 'لدھیانوی']"
120,0,"['حنیف', 'محمد', 'کے', 'پوتے', 'شہزر', 'محمد', 'نے', 'پاکستان', 'کرکٹ', 'میں', 'پی', 'آئی', 'اے', 'کی', 'طرف', 'سے', 'سنچری', 'بنا', 'کر', 'ریکارڈ', 'بک', 'میں', 'اپنا', 'نام', 'منفرد', 'تعارف', 'کے', 'طو', 'پر', 'درج', 'کرا', 'دیا']"
